id,vertical,sector,macro_theme,problem_title,severity_score,urgency_score,frequency_score,opportunity_score,ai_fit_score,solution_direction
ecommerce--imposter_scam,E-commerce,shopping,fraud,Users cannot tell real E-commerce outreach from imposter scams,79,83,81,81,60,"Trust verification layer, message provenance, and outbound notice registry."
ecommerce--social_media_scam,E-commerce,shopping,fraud,Users get pulled from social feeds into fake E-commerce offers,76,84,86,81,55,"Link reputation, seller verification, and ad-to-checkout risk scoring."
ecommerce--deepfake_voice_fraud,E-commerce,shopping,fraud,Users are vulnerable to deepfake or voice-clone fraud in E-commerce,80,90,68,81,49,"Out-of-band verification, secure callback flows, and synthetic-media detection."
ecommerce--phishing_login_flow,E-commerce,shopping,identity,Users are tricked into phishing flows that mimic official E-commerce login pages,81,94,75,83,54,"Phishing-resistant authentication, origin validation, and login anomaly detection."
ecommerce--job_opportunity_trap,E-commerce,shopping,fraud,Users chasing E-commerce opportunities fall into fake jobs or business offers,74,89,73,79,57,"Listing verification, recruiter proofing, and payout-safe workflows."
ecommerce--rental_listing_fraud,E-commerce,shopping,fraud,Users searching E-commerce listings cannot tell fake inventory from real supply,73,76,67,74,53,"Listing authenticity scoring, owner proof, and anti-escrow fraud protections."
ecommerce--investment_scam,E-commerce,shopping,fraud,Users are lured into fake E-commerce investment or yield schemes,82,88,63,79,46,"Investment verification rails, high-risk claim detection, and suspicious transfer intervention."
ecommerce--seller_trust_gap,E-commerce,shopping,marketplace,Users do not trust whether a E-commerce seller or provider is real,71,79,79,78,62,"Seller trust graphs, transaction guarantees, and identity-backed reputation."
ecommerce--fake_reviews,E-commerce,shopping,trust,"Users cannot trust reviews, ratings, or testimonials in E-commerce",66,72,82,74,67,"Review authenticity, verified outcomes, and anomaly-based reputation scoring."
ecommerce--delivery_confusion,E-commerce,shopping,operations,Users struggle to understand real delivery status in E-commerce,64,72,81,73,70,"Verified status feeds, exception alerts, and unified tracking UX."
ecommerce--refund_delay,E-commerce,shopping,payments,Users cannot predict when E-commerce refunds will actually arrive,67,70,77,73,72,"Refund timelines, bank-status translation, and self-serve refund intelligence."
ecommerce--billing_confusion,E-commerce,shopping,payments,"Users do not understand E-commerce charges, renewals, or fee structure",69,73,80,76,74,"Explainable billing, charge provenance, and proactive anomaly notices."
ecommerce--subscription_cancellation,E-commerce,shopping,payments,Users cannot cancel or downgrade E-commerce subscriptions cleanly,63,69,75,69,68,"Transparent offboarding, downgrade alternatives, and friction analytics."
ecommerce--account_takeover,E-commerce,shopping,identity,Users lose access to E-commerce accounts through takeover or session theft,79,90,70,81,65,"Session risk scoring, recovery hardening, and impossible-travel style anomaly controls."
ecommerce--password_reset_pain,E-commerce,shopping,identity,Users hit dead ends in E-commerce password reset and recovery flows,61,72,78,72,70,"Adaptive recovery routing, identity proofing, and state-aware help flows."
ecommerce--otp_mfa_fatigue,E-commerce,shopping,identity,Users in E-commerce face OTP and MFA fatigue without feeling truly protected,66,69,68,70,63,"Phishing-resistant auth, prompt abuse detection, and human-readable risk cues."
ecommerce--support_wait_time,E-commerce,shopping,support,Users cannot reach useful human support quickly in E-commerce,68,71,83,76,75,"Intent-aware routing, better escalation triggers, and queue transparency."
ecommerce--self_service_failure,E-commerce,shopping,support,Users try self-service in E-commerce but still end up stuck,65,71,84,75,81,"Resolution-focused knowledge design, step validation, and failure-loop analytics."
ecommerce--ai_handoff_gap,E-commerce,shopping,support,Users in E-commerce get trapped between AI help and human help,67,78,76,76,86,"Conversation memory, escalation contracts, and bot-to-human state transfer."
ecommerce--feedback_void,E-commerce,shopping,support,Users report problems in E-commerce but feel nothing changes,58,65,72,67,66,Closed-loop feedback orchestration and action-trace dashboards.
ecommerce--privacy_transparency_gap,E-commerce,shopping,privacy,Users do not understand how E-commerce uses personal data,62,62,74,69,67,"Plain-language data notices, purpose-level controls, and permission history."
ecommerce--onboarding_dropoff,E-commerce,shopping,conversion,Users abandon E-commerce onboarding before seeing value,60,65,81,72,73,"Risk-adaptive onboarding, progressive profiling, and abandonment analytics."
ecommerce--checkout_abandonment,E-commerce,shopping,conversion,Users in E-commerce abandon checkout when trust or cost changes too late,66,72,79,76,71,"Transparent checkout, pre-verified totals, and trust-state messaging."
ecommerce--hidden_fees,E-commerce,shopping,payments,Users discover hidden or confusing fees in E-commerce too late,64,71,73,71,66,"Price breakdowns, fee explainers, and cost-delta warnings."
ecommerce--official_channel_confusion,E-commerce,shopping,trust,Users cannot tell which E-commerce channels are official and safe,75,88,75,79,58,"Official-channel registries, signed notifications, and trust-verification UX."
ecommerce--knowledge_fragmentation,E-commerce,shopping,support,"Users in E-commerce get contradictory answers across help content, AI, and agents",61,63,71,68,79,"Unified knowledge graph, answer verification, and source-aware support systems."
ecommerce--identity_proofing_friction,E-commerce,shopping,identity,Legitimate users in E-commerce fail identity proofing while fraudsters still slip through,71,75,65,74,69,"Adaptive proofing, low-friction trust signals, and fallback recovery lanes."
marketplace--imposter_scam,Online Marketplace,shopping,fraud,Users cannot tell real Online Marketplace outreach from imposter scams,82,83,83,83,62,"Trust verification layer, message provenance, and outbound notice registry."
marketplace--social_media_scam,Online Marketplace,shopping,fraud,Users get pulled from social feeds into fake Online Marketplace offers,80,84,88,83,57,"Link reputation, seller verification, and ad-to-checkout risk scoring."
marketplace--deepfake_voice_fraud,Online Marketplace,shopping,fraud,Users are vulnerable to deepfake or voice-clone fraud in Online Marketplace,83,90,70,83,50,"Out-of-band verification, secure callback flows, and synthetic-media detection."
marketplace--phishing_login_flow,Online Marketplace,shopping,identity,Users are tricked into phishing flows that mimic official Online Marketplace login pages,84,94,77,85,55,"Phishing-resistant authentication, origin validation, and login anomaly detection."
marketplace--job_opportunity_trap,Online Marketplace,shopping,fraud,Users chasing Online Marketplace opportunities fall into fake jobs or business offers,77,89,75,80,59,"Listing verification, recruiter proofing, and payout-safe workflows."
marketplace--rental_listing_fraud,Online Marketplace,shopping,fraud,Users searching Online Marketplace listings cannot tell fake inventory from real supply,76,76,69,75,54,"Listing authenticity scoring, owner proof, and anti-escrow fraud protections."
marketplace--investment_scam,Online Marketplace,shopping,fraud,Users are lured into fake Online Marketplace investment or yield schemes,86,88,64,81,48,"Investment verification rails, high-risk claim detection, and suspicious transfer intervention."
marketplace--seller_trust_gap,Online Marketplace,shopping,marketplace,Users do not trust whether a Online Marketplace seller or provider is real,74,79,81,79,64,"Seller trust graphs, transaction guarantees, and identity-backed reputation."
marketplace--fake_reviews,Online Marketplace,shopping,trust,"Users cannot trust reviews, ratings, or testimonials in Online Marketplace",68,72,84,75,69,"Review authenticity, verified outcomes, and anomaly-based reputation scoring."
marketplace--delivery_confusion,Online Marketplace,shopping,operations,Users struggle to understand real delivery status in Online Marketplace,66,72,83,74,73,"Verified status feeds, exception alerts, and unified tracking UX."
marketplace--refund_delay,Online Marketplace,shopping,payments,Users cannot predict when Online Marketplace refunds will actually arrive,70,70,79,75,75,"Refund timelines, bank-status translation, and self-serve refund intelligence."
marketplace--billing_confusion,Online Marketplace,shopping,payments,"Users do not understand Online Marketplace charges, renewals, or fee structure",72,73,82,77,77,"Explainable billing, charge provenance, and proactive anomaly notices."
marketplace--subscription_cancellation,Online Marketplace,shopping,payments,Users cannot cancel or downgrade Online Marketplace subscriptions cleanly,66,69,77,71,70,"Transparent offboarding, downgrade alternatives, and friction analytics."
marketplace--account_takeover,Online Marketplace,shopping,identity,Users lose access to Online Marketplace accounts through takeover or session theft,82,90,72,83,67,"Session risk scoring, recovery hardening, and impossible-travel style anomaly controls."
marketplace--password_reset_pain,Online Marketplace,shopping,identity,Users hit dead ends in Online Marketplace password reset and recovery flows,64,72,80,73,72,"Adaptive recovery routing, identity proofing, and state-aware help flows."
marketplace--otp_mfa_fatigue,Online Marketplace,shopping,identity,Users in Online Marketplace face OTP and MFA fatigue without feeling truly protected,69,69,70,71,65,"Phishing-resistant auth, prompt abuse detection, and human-readable risk cues."
marketplace--support_wait_time,Online Marketplace,shopping,support,Users cannot reach useful human support quickly in Online Marketplace,71,71,85,77,78,"Intent-aware routing, better escalation triggers, and queue transparency."
marketplace--self_service_failure,Online Marketplace,shopping,support,Users try self-service in Online Marketplace but still end up stuck,67,71,86,76,83,"Resolution-focused knowledge design, step validation, and failure-loop analytics."
marketplace--ai_handoff_gap,Online Marketplace,shopping,support,Users in Online Marketplace get trapped between AI help and human help,70,78,78,77,89,"Conversation memory, escalation contracts, and bot-to-human state transfer."
marketplace--feedback_void,Online Marketplace,shopping,support,Users report problems in Online Marketplace but feel nothing changes,60,65,74,68,68,Closed-loop feedback orchestration and action-trace dashboards.
marketplace--privacy_transparency_gap,Online Marketplace,shopping,privacy,Users do not understand how Online Marketplace uses personal data,65,62,76,70,69,"Plain-language data notices, purpose-level controls, and permission history."
marketplace--onboarding_dropoff,Online Marketplace,shopping,conversion,Users abandon Online Marketplace onboarding before seeing value,63,65,83,73,76,"Risk-adaptive onboarding, progressive profiling, and abandonment analytics."
marketplace--checkout_abandonment,Online Marketplace,shopping,conversion,Users in Online Marketplace abandon checkout when trust or cost changes too late,68,72,81,77,74,"Transparent checkout, pre-verified totals, and trust-state messaging."
marketplace--hidden_fees,Online Marketplace,shopping,payments,Users discover hidden or confusing fees in Online Marketplace too late,66,71,75,72,68,"Price breakdowns, fee explainers, and cost-delta warnings."
marketplace--official_channel_confusion,Online Marketplace,shopping,trust,Users cannot tell which Online Marketplace channels are official and safe,78,88,77,81,60,"Official-channel registries, signed notifications, and trust-verification UX."
marketplace--knowledge_fragmentation,Online Marketplace,shopping,support,"Users in Online Marketplace get contradictory answers across help content, AI, and agents",64,63,73,69,81,"Unified knowledge graph, answer verification, and source-aware support systems."
marketplace--identity_proofing_friction,Online Marketplace,shopping,identity,Legitimate users in Online Marketplace fail identity proofing while fraudsters still slip through,74,75,67,76,71,"Adaptive proofing, low-friction trust signals, and fallback recovery lanes."
social_commerce--imposter_scam,Social Commerce,shopping,fraud,Users cannot tell real Social Commerce outreach from imposter scams,86,83,85,84,64,"Trust verification layer, message provenance, and outbound notice registry."
social_commerce--social_media_scam,Social Commerce,shopping,fraud,Users get pulled from social feeds into fake Social Commerce offers,83,84,90,84,59,"Link reputation, seller verification, and ad-to-checkout risk scoring."
